Id,Req. Timestamp,Resp. Timestamp,Método,URL,Code,Reason,RTT,Size Resp. Header,Size Resp. Body
80949,Tue Jun 02 01:36:02 WEST 2020,Tue Jun 02 01:36:02 WEST 2020,GET,http://10.0.2.2:3000/socket.io/?EIO=3&transport=%3Cxsl%3Avalue-of+select%3D%22system-property%28%27xsl%3Avendor%27%29%22%2F%3E&t=N9n_j7M&sid=RZK8ondCBIaEyA7yAADl,400,Bad Request,341,153,40
80952,Tue Jun 02 01:36:02 WEST 2020,Tue Jun 02 01:36:03 WEST 2020,GET,http://10.0.2.2:3000/socket.io/?EIO=3&transport=system-property%28%27xsl%3Avendor%27%29%2F%3E&t=N9n_j7M&sid=RZK8ondCBIaEyA7yAADl,400,Bad Request,325,153,40
80953,Tue Jun 02 01:36:02 WEST 2020,Tue Jun 02 01:36:03 WEST 2020,POST,http://10.0.2.2:3000/rest/user/login,401,Unauthorized,624,332,26
80956,Tue Jun 02 01:36:03 WEST 2020,Tue Jun 02 01:36:03 WEST 2020,GET,http://10.0.2.2:3000/socket.io/?EIO=3&transport=%22%2F%3E%3Cxsl%3Avalue-of+select%3D%22system-property%28%27xsl%3Avendor%27%29%22%2F%3E%3C%21--&t=N9n_j7M&sid=RZK8ondCBIaEyA7yAADl,400,Bad Request,306,153,40
80957,Tue Jun 02 01:36:03 WEST 2020,Tue Jun 02 01:36:03 WEST 2020,GET,http://10.0.2.2:3000/socket.io/?EIO=%3C&transport=websocket&sid=RZK8ondCBIaEyA7yAADl,101,Switching Protocols,108,129,0
80961,Tue Jun 02 01:36:03 WEST 2020,Tue Jun 02 01:36:03 WEST 2020,GET,http://10.0.2.2:3000/socket.io/?EIO=%3Cxsl%3Avalue-of+select%3D%22system-property%28%27xsl%3Avendor%27%29%22%2F%3E&transport=websocket&sid=RZK8ondCBIaEyA7yAADl,101,Switching Protocols,237,129,0
80960,Tue Jun 02 01:36:03 WEST 2020,Tue Jun 02 01:36:03 WEST 2020,GET,http://10.0.2.2:3000/socket.io/?EIO=3&transport=%3Cxsl%3Avalue-of+select%3D%22system-property%28%27xsl%3Avendor%27%29%22%2F%3E%3C%21--&t=N9n_j7M&sid=RZK8ondCBIaEyA7yAADl,400,Bad Request,241,153,40
80964,Tue Jun 02 01:36:03 WEST 2020,Tue Jun 02 01:36:04 WEST 2020,GET,http://10.0.2.2:3000/socket.io/?EIO=3&transport=%3Cxsl%3Avalue-of+select%3D%22document%28%27http%3A%2F%2F10.0.2.2%3A22%27%29%22%2F%3E&t=N9n_j7M&sid=RZK8ondCBIaEyA7yAADl,400,Bad Request,271,153,40
80965,Tue Jun 02 01:36:03 WEST 2020,Tue Jun 02 01:36:04 WEST 2020,GET,http://10.0.2.2:3000/socket.io/?EIO=system-property%28%27xsl%3Avendor%27%29%2F%3E&transport=websocket&sid=RZK8ondCBIaEyA7yAADl,101,Switching Protocols,276,129,0
80968,Tue Jun 02 01:36:04 WEST 2020,Tue Jun 02 01:36:04 WEST 2020,GET,http://10.0.2.2:3000/socket.io/?EIO=%22%2F%3E%3Cxsl%3Avalue-of+select%3D%22system-property%28%27xsl%3Avendor%27%29%22%2F%3E%3C%21--&transport=websocket&sid=RZK8ondCBIaEyA7yAADl,101,Switching Protocols,252,129,0
